# entity_raw,entity_norm,ticker,match_type,priority,start_date,end_date,notes
# match_type: EXACT|CONTAINS|REGEX
# priority: higher wins; use date windows to avoid time-drift collisions
"Apple Inc","apple",AAPL,EXACT,100,1970-01-01,,
"Microsoft","microsoft",MSFT,EXACT,100,1970-01-01,,
